City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Hirara,JP,24.8,125.2833,78.66,78,75,12.66,broken clouds
188,Isla Mujeres,MX,21.2311,-86.731,84.25,83,98,20.42,overcast clouds
189,Marawi,PH,7.9986,124.2928,78.03,82,89,3.15,overcast clouds
190,Saint-Philippe,RE,-21.3585,55.7679,76.59,74,18,9.69,few clouds
191,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,97,100,3.83,overcast clouds
192,Xinqing,CN,48.2333,129.5,68.25,22,48,7.38,scattered clouds
193,Inhambane,MZ,-23.865,35.3833,67.98,100,75,6.91,moderate rain
194,Pokrovsk,UA,48.282,37.1758,57.85,83,91,15.17,overcast clouds
195,Sao Filipe,CV,14.8961,-24.4956,71.19,79,69,6.35,broken clouds
196,Gigmoto,PH,13.7796,124.39,85.17,71,100,7.47,light rain
197,Murchison,NZ,-41.8,172.3333,48.18,95,87,3.09,overcast clouds
198,Upata,VE,8.0086,-62.3989,74.19,85,73,5.48,broken clouds
199,Lagoa,PT,39.05,-27.9833,61.97,95,100,2.17,overcast clouds
200,Ambon,ID,-3.6954,128.1814,87.94,66,40,3.44,scattered clouds
201,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,3.44,broken clouds
202,Sangar,RU,63.9242,127.4739,52.84,58,47,8.01,light rain
203,Saint George,US,37.1041,-113.5841,69.26,17,0,5.75,clear sky
204,Senanga,ZM,-16.1167,23.2667,43.63,34,13,5.84,few clouds
205,Palana,RU,59.1167,159.9667,39.85,84,99,3.8,overcast clouds
206,Senador Jose Porfirio,BR,-2.5908,-51.9542,72.03,96,81,1.68,broken clouds
207,Manavalakurichi,IN,8.1333,77.3,84.0,73,43,17.72,scattered clouds
208,Hambantota,LK,6.1241,81.1185,87.57,65,69,20.76,broken clouds
209,Henties Bay,NA,-22.116,14.2845,59.68,44,6,5.32,clear sky
210,San Juan,AR,-31.5375,-68.5364,55.49,31,89,4.54,overcast clouds
211,Sungaipenuh,ID,-2.0833,101.3833,81.32,52,80,5.37,broken clouds
212,Ughelli,NG,5.4899,6.0074,73.26,97,90,2.53,overcast clouds
213,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,4.61,mist
214,Alappuzha,IN,9.49,76.3264,81.52,80,94,11.1,overcast clouds
215,Masumbwe,TZ,-3.6333,32.1833,65.5,76,100,2.68,overcast clouds
216,Ozinki,RU,51.1786,49.6769,50.49,57,100,9.13,overcast clouds
217,College,US,64.8569,-147.8028,66.52,35,75,12.66,broken clouds
218,Chara,RU,56.9064,118.2631,56.28,48,100,3.11,overcast clouds
219,Mackenzie,CA,55.2999,-123.1698,48.42,37,0,2.3,clear sky
220,Westport,US,41.1415,-73.3579,74.44,90,0,0.0,clear sky
221,Carmelo,UY,-33.9892,-58.2856,50.34,83,1,5.64,clear sky
222,Cozumel,MX,20.5083,-86.9458,81.95,81,66,17.58,broken clouds
223,Aklavik,CA,68.2191,-135.0107,34.66,86,99,4.97,overcast clouds
224,Buta,CD,2.7858,24.73,69.69,92,100,0.31,overcast clouds
225,Sola,VU,-13.8833,167.55,81.5,74,36,2.13,scattered clouds
226,Lanigan,CA,51.8501,-105.0344,44.49,56,52,5.32,broken clouds
227,Clyde River,CA,70.4692,-68.5914,19.63,93,100,16.11,light snow
228,Cukai,MY,4.25,103.4167,89.55,64,91,5.7,overcast clouds
229,Smithers,CA,54.7804,-127.1743,55.72,30,0,2.3,clear sky
230,Makakilo City,US,21.3469,-158.0858,80.92,60,0,16.11,clear sky
231,Luderitz,NA,-26.6481,15.1594,55.51,59,4,5.64,clear sky
232,Katsuura,JP,35.1333,140.3,67.3,71,89,12.12,overcast clouds
233,Great Yarmouth,GB,52.6083,1.7305,53.42,87,90,7.05,overcast clouds
234,Hetauda,NP,27.4284,85.0322,72.75,37,8,5.17,clear sky
235,Mayo,US,38.8876,-76.5119,80.73,62,0,9.22,clear sky
236,Semme,FR,46.1963,1.5007,66.61,93,96,3.6,overcast clouds
237,Pevek,RU,69.7008,170.3133,36.91,92,84,5.68,broken clouds
238,Chuy,UY,-33.6971,-53.4616,49.86,91,95,5.55,overcast clouds
239,Amahai,ID,-3.3333,128.9167,83.82,74,52,6.8,broken clouds
240,Harnosand,SE,62.6323,17.9379,44.6,58,100,1.12,overcast clouds
241,Keti Bandar,PK,24.1447,67.4497,86.07,73,58,25.37,broken clouds
242,Valparaiso,CL,-33.0393,-71.6273,58.48,77,40,0.0,scattered clouds
243,Okha,RU,53.5739,142.9478,35.29,99,100,4.29,snow
244,Pingzhuang,CN,42.0372,119.2889,83.61,15,7,3.42,clear sky
245,Irupi,BR,-20.3453,-41.6411,51.04,95,0,1.54,clear sky
246,Pitkyaranta,RU,61.5734,31.4792,39.6,55,2,6.71,clear sky
247,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,2.3,light snow
248,Santander,ES,43.4647,-3.8044,65.46,93,0,5.99,clear sky
249,Guayape,HN,14.7167,-86.8333,69.66,90,92,3.69,overcast clouds
250,Kirkuk,IQ,35.4681,44.3922,82.71,12,98,7.0,overcast clouds
251,Ilulissat,GL,69.2167,-51.1,44.62,45,75,23.02,broken clouds
252,Raudeberg,NO,61.9875,5.1352,49.87,87,99,14.38,overcast clouds
253,Kawalu,ID,-7.3817,108.2082,77.04,86,97,2.3,overcast clouds
254,Kutum,SD,14.2,24.6667,74.34,21,73,11.32,broken clouds
255,Constitucion,CL,-35.3333,-72.4167,53.08,71,100,4.94,overcast clouds
256,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.0,89,13,5.44,few clouds
257,Port Hardy,CA,50.6996,-127.4199,48.38,87,20,2.3,fog
258,San Vicente,AR,-26.6167,-54.1333,46.67,84,42,2.15,scattered clouds
259,Poum,NC,-20.2333,164.0167,78.33,81,22,17.43,few clouds
260,Lae,PG,-6.7221,146.9847,93.87,63,28,7.56,scattered clouds
261,Sitka,US,57.0531,-135.33,53.49,58,0,3.44,clear sky
262,Xining,CN,36.6167,101.7667,69.08,30,0,3.67,clear sky
263,Iqaluit,CA,63.7506,-68.5145,31.73,80,100,17.27,overcast clouds
264,Togur,RU,58.3631,82.8265,70.38,43,31,9.95,scattered clouds
265,Luganville,VU,-15.5333,167.1667,81.09,82,55,1.92,broken clouds
266,Viedma,AR,-40.8135,-62.9967,54.57,43,100,15.19,overcast clouds
267,Beloha,MG,-25.1667,45.05,70.3,45,0,3.18,clear sky
268,Lawton,US,34.6087,-98.3903,60.71,44,20,23.02,few clouds
269,Sembe,CG,1.6481,14.5806,68.27,99,89,2.08,overcast clouds
270,Taiobeiras,BR,-15.8078,-42.2331,50.95,94,8,2.95,clear sky
271,Malakal,SS,9.5334,31.6605,78.1,69,98,5.17,overcast clouds
272,Georgetown,MY,5.4112,100.3354,89.53,72,20,10.36,thunderstorm
273,Vydrino,RU,51.485,104.8461,61.5,46,34,4.36,scattered clouds
274,Karwar,IN,14.8,74.1333,83.07,76,74,7.02,broken clouds
275,Saint Pete Beach,US,27.7253,-82.7412,75.2,76,75,10.36,broken clouds
276,Miram Shah,PK,33.0086,70.0697,90.16,9,0,6.58,clear sky
277,Mugur-Aksy,RU,50.35,90.5,63.72,24,84,8.21,broken clouds
278,Lere,NG,10.387,8.5726,71.17,86,85,4.76,overcast clouds
279,Barsovo,RU,61.1667,73.1667,57.33,56,100,22.26,overcast clouds
280,Cockburn Town,TC,21.4612,-71.1419,79.38,82,100,19.1,overcast clouds
281,Forestville,US,38.8451,-76.875,79.83,68,0,10.36,clear sky
282,Yar-Sale,RU,66.8333,70.8333,35.83,67,100,15.12,overcast clouds
283,Naryan-Mar,RU,67.6713,53.087,29.32,73,98,18.97,overcast clouds
284,Kuri,KR,37.5986,127.1394,80.28,50,40,8.05,scattered clouds
285,Somerset,US,40.5668,-74.5496,80.46,84,0,0.0,clear sky
286,Ambulu,ID,-8.345,113.6058,87.12,60,54,4.23,broken clouds
287,Misratah,LY,32.3754,15.0925,65.64,48,0,7.74,clear sky
288,Nan,TH,18.8333,100.6667,84.22,74,40,9.22,scattered clouds
289,North Myrtle Beach,US,33.816,-78.68,75.38,87,0,13.8,clear sky
290,Nemuro,JP,43.3236,145.575,52.18,93,94,13.49,overcast clouds
291,Riwaka,NZ,-41.0833,173.0,59.0,62,48,8.32,scattered clouds
292,Beringovskiy,RU,63.05,179.3167,38.01,82,100,9.4,overcast clouds
293,Kyra,RU,49.5776,111.9753,71.49,24,92,15.08,overcast clouds
294,Vao,NC,-22.6667,167.4833,73.94,86,65,24.7,broken clouds
295,Raga,SS,8.4596,25.678,74.03,75,99,0.81,overcast clouds
296,Quatre Cocos,MU,-20.2078,57.7625,77.11,71,22,14.94,light rain
297,Saint-Augustin,CA,51.226,-58.6502,45.05,93,100,16.04,overcast clouds
298,Shelburne,CA,44.0787,-80.2041,56.23,87,94,2.8,overcast clouds
299,Vila Velha,BR,-20.3297,-40.2925,60.75,94,40,2.3,scattered clouds
300,Apache Junction,US,33.4151,-111.5496,82.42,25,0,5.75,clear sky
301,Walvis Bay,NA,-22.9575,14.5053,50.95,50,5,6.91,clear sky
302,Saldanha,ZA,-33.0117,17.9442,54.97,82,53,4.07,broken clouds
303,Mackay,AU,-21.15,149.2,76.68,79,100,17.38,overcast clouds
304,Borodyanka,UA,50.6448,29.9201,54.5,73,79,18.54,broken clouds
305,Bengkulu,ID,-3.8004,102.2655,84.61,65,56,6.44,broken clouds
306,Portland,US,45.5234,-122.6762,61.38,64,20,10.36,few clouds
307,Pacific Grove,US,36.6177,-121.9166,55.24,86,100,5.75,overcast clouds
308,Marysville,US,48.0518,-122.1771,54.48,87,0,5.75,clear sky
309,Hofn,IS,64.2539,-15.2082,46.36,87,100,15.93,overcast clouds
310,San Lucas,MX,16.6,-92.7167,75.96,65,100,0.69,overcast clouds
311,Natal,BR,-5.795,-35.2094,77.22,94,75,6.91,light rain
312,Totness,SR,5.8833,-56.3167,75.34,92,100,10.22,light rain
313,Pandan,PH,14.0453,124.1694,83.79,80,100,3.87,moderate rain
314,Teahupoo,PF,-17.8333,-149.2667,75.16,73,28,11.12,scattered clouds
315,Palasa,IN,18.7667,84.4167,97.83,41,51,8.75,broken clouds
316,Nanortalik,GL,60.1432,-45.2371,39.33,85,100,9.42,overcast clouds
317,Port Macquarie,AU,-31.4333,152.9167,58.89,100,100,4.61,light rain
318,Rosarito,MX,32.3333,-117.0333,61.75,74,56,5.06,broken clouds
319,Hovd,MN,48.0056,91.6419,70.52,15,46,4.83,scattered clouds
320,Ahtopol,BG,42.1,27.95,65.19,65,44,6.85,scattered clouds
321,Tabou,CI,4.423,-7.3528,74.21,92,100,5.19,moderate rain
322,Lasa,IT,46.6166,10.7002,58.08,61,26,5.06,scattered clouds
323,Jiangkou,CN,25.4872,119.1986,68.58,86,100,7.92,overcast clouds
324,Klyuchi,RU,52.2667,79.1667,75.33,39,100,12.44,overcast clouds
325,Okhotsk,RU,59.3833,143.3,34.05,97,100,9.06,light snow
326,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,58.8,38,0,4.29,clear sky
327,Severnyy,RU,50.677,36.5532,53.64,94,75,15.66,broken clouds
328,Liuzhou,CN,24.3126,109.3892,71.73,90,100,5.95,overcast clouds
329,Pisco,PE,-13.7,-76.2167,59.05,94,100,5.75,mist
330,Bosaso,SO,11.2842,49.1816,89.58,62,0,8.05,clear sky
331,Bardiyah,LY,31.7561,25.0865,65.08,74,0,20.6,clear sky
332,Kaminoyama,JP,38.1539,140.2736,61.74,93,100,2.13,overcast clouds
333,Antofagasta,CL,-23.65,-70.4,58.28,71,33,6.2,scattered clouds
334,Banda Aceh,ID,5.5577,95.3222,86.97,67,15,17.58,few clouds
335,Fortuna,US,40.5982,-124.1573,51.93,89,100,10.36,overcast clouds
336,Zhezkazgan,KZ,47.8043,67.7144,55.38,33,75,26.84,broken clouds
337,Whitianga,NZ,-36.8333,175.7,60.62,66,7,14.0,clear sky
338,Grindavik,IS,63.8424,-22.4338,43.27,87,0,18.41,clear sky
339,Sinnamary,GF,5.3833,-52.95,76.69,89,100,9.42,overcast clouds
