City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Kampot,KH,82.45,light rain,10.6167,104.1833,Two Moons Hotel
459,Port Blair,IN,87.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
462,Manhattan,US,80.6,clear sky,40.7834,-73.9662,The Mark Hotel
471,Wanning,CN,85.06,overcast clouds,18.8003,110.3967,Paradise Hotel
475,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
478,Kita,ML,82.09,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
486,Barahona,DO,76.82,overcast clouds,18.2085,-71.1008,Hotel Caribe
490,Dapaong,TG,77.85,overcast clouds,10.8639,0.205,Hotel Caroli
493,Saint-Georges,GD,80.29,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
496,Esperance,AU,75.04,few clouds,-33.8667,121.9,Hospitality Esperance
502,Samarai,PG,82.96,broken clouds,-10.6167,150.6667,Nuli Sapi
508,Barabinsk,RU,75.7,overcast clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
516,Erzin,TR,77.79,clear sky,36.9559,36.2,Artemis Otel
521,Sawakin,SD,88.27,clear sky,19.1059,37.3321,فندق الدويم
522,Tura,IN,85.57,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
525,Rockport,US,82.45,overcast clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
536,Pemangkat,ID,86.65,scattered clouds,1.1667,108.9667,Ramah Kost KITA
538,Beruwala,LK,83.52,scattered clouds,6.4788,79.9828,The Palms Hotel
545,Sumenep,ID,86.27,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
546,Saint-Joseph,RE,75.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
549,Pingliang,CN,75.79,clear sky,35.5392,106.6861,North Gate Hostel
550,Adrar,MR,85.78,clear sky,20.5022,-10.0711,Hotel Landmark
556,Nianzishan,CN,78.58,few clouds,47.5167,122.8833,Jinhong Hotel
562,Soe,ID,80.55,few clouds,-9.8607,124.284,Dena Hotel
565,Tautira,PF,79.75,few clouds,-17.7333,-149.15,Pension Oaoa
567,Nabire,ID,83.61,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
573,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
579,Fayetteville,US,75.49,clear sky,35.0527,-78.8784,American Eagle Inn
581,Zirandaro,MX,82.29,clear sky,18.45,-100.9833,Hotel Pineda
586,Garissa,KE,78.64,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
587,Hami,CN,89.28,few clouds,42.8,93.45,Laoyutang Resort
596,Bilma,NE,78.73,clear sky,18.6853,12.9164,Expeditions Ténére voyages
604,Motril,ES,79.27,overcast clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
605,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
607,Kalianget,ID,85.8,broken clouds,-7.05,113.9333,Pesanggrahan Garam
609,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
610,Pagudpud,PH,83.71,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
612,Fort Dix,US,79.68,clear sky,40.0298,-74.6185,Lodge Inn
615,Yumen,CN,82.42,clear sky,40.2833,97.2,Hotel Landmark
619,Qui Nhon,VN,88.7,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
620,Fomboni,KM,80.98,few clouds,-12.28,43.7425,Auberge les abou
624,Gajendragarh,IN,82.02,broken clouds,15.7333,75.9833,JAI BAVANI SAVAJI HOTEL
627,Laem Sing,TH,89.02,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
629,Harper,LR,75.54,moderate rain,4.375,-7.7169,Screensaver
632,Galveston,US,83.17,few clouds,29.3669,-94.9669,Crystal Suites
637,Kieta,PG,84.33,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
638,Teknaf,BD,88.56,broken clouds,20.8624,92.3058,Forestry Guesthouse
639,Namatanai,PG,84.09,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
640,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
642,Las Cruces,US,75.99,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
647,Havelock,US,78.78,overcast clouds,34.8791,-76.9013,Sherwood Motel
648,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
651,Port-Gentil,GA,77.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
653,Freeport,US,80.96,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
655,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
656,Balad,IQ,87.53,overcast clouds,34.0164,44.1453,رضاوي زنوبة
660,Pokhara,NP,82.18,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
664,Maebaru,JP,87.94,few clouds,33.55,130.2,Guest house Kotonoha
666,Izumo,JP,80.55,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
669,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
670,Mujiayingzi,CN,82.0,clear sky,42.1167,118.7833,Jinjiang Hotel
680,Bang Saphan,TH,78.19,moderate rain,11.2126,99.5117,Ladawan Boutique Hotel
681,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
684,Tessalit,ML,84.65,broken clouds,20.1986,1.0114,Hotel Landmark
688,Panacan,PH,84.81,overcast clouds,9.2463,118.4082,Mom's Place Resort
690,Mongo,TD,84.25,scattered clouds,12.1844,18.693,Résidences du Programme FIDA
692,Ratnagiri,IN,88.07,broken clouds,16.9833,73.3,Hotel Landmark
